Title,Type,Author,Genre,Status,Notes,Pages,Year,Score,Goodreads
Negative Space,Novel,B. R. Yeager,Fiction: Horror,NOT STARTED,,364,2020,,3.75
What Has Passed Shall in Kinder Light Appear,Novella,Baoshu,Fiction: Science Fiction,FINISHED,,72,2015,3.50,3.85
The Redemption of Time,Novel,Baoshu,Fiction: Science Fiction,NOT STARTED,"Remembrance of Earth's Past, #4.",400,2011,,3.65
Demon Copperhead,Novel,Barbara Kingsolver,Fiction: Historical,NOT STARTED,,560,2022,,4.52
A Distant Mirror: The Calamitous 14th Century,Non-Fiction,Barbara W. Tuchman,Non-Fiction: History,NOT STARTED,,714,1978,,4.05
The Blessing Stone,Novel,Barbara Wood,Fiction: Historical,NOT STARTED,,464,2002,,3.98
The Tribe,Novel,Bari Wood,Fiction: Horror,NOT STARTED,,339,1981,,3.70
Shaft Number 247,Novelette,Basil Copper,Fiction: Horror: Cosmic,FINISHED,,25,1980,3.50,4.12
Slaying the Dragon: A Secret History of Dungeons & Dragons,Non-Fiction,Ben Riggs,Non-Fiction: Games,NOT STARTED,,293,2022,,3.98
The Town,Novel,Bentley Little,Fiction: Horror,NOT STARTED,,376,1997,,3.62
The Store,Novel,Bentley Little,Fiction: Horror,NOT STARTED,,432,1996,,3.83
The Last Kingdom,Novel,Bernard Cornwell,Fiction: Historical,NOT FINISHED,"The Saxon Stories, #1.",333,2004,2.25,4.27
The Reaping,Novel,Bernard Taylor,Fiction: Horror,NOT STARTED,,256,1980,,3.56
A Tree Grows in Brooklyn,Novel,Betty Smith,Fiction: Literary,NOT STARTED,,496,1943,,4.29
Dance of the Tiger: A Novel of the Ice Age,Novel,Björn Kurtén,Fiction: Historical,NOT STARTED,"Esihistoria, #1.",280,1978,,3.66
Recursion,Novel,Blake Crouch,Fiction: Science Fiction,NOT STARTED,,326,2019,,4.16
Dark Matter,Novel,Blake Crouch,Fiction: Science Fiction,FINISHED,,352,2016,4.10,4.13
Led Zeppelin: The Biography,Non-Fiction,Bob Spitz,Non-Fiction: Music,NOT STARTED,,688,2021,,4.06
The World Next Door,Novel,Brad Ferguson,Fiction: Science Fiction: Apocalyptic,NOT STARTED,,342,1990,,3.56
The Secret Weapon,Novel,Bradley Wright,Fiction: Thriller,NOT STARTED,"Alexander King, #1.",328,2020,,4.22
Dracula,Novel,Bram Stoker,Fiction: Horror,FINISHED,,488,1897,4.80,4.01
The Final Empire,Novel,Brandon Sanderson,Fiction: Fantasy: High,FINISHED,"Mistborn, #1.",537,2006,3.75,4.48
The Hero of Ages,Novel,Brandon Sanderson,Fiction: Fantasy: High,FINISHED,"Mistborn, #3.",572,2008,3.25,4.53
The Well of Ascension,Novel,Brandon Sanderson,Fiction: Fantasy: High,FINISHED,"Mistborn, #2.",578,2007,3.50,4.38
The Way of Kings,Novel,Brandon Sanderson,Fiction: Fantasy: High,FINISHED,"The Stormlight Archive, #1.",1007,2010,2.50,4.66
Words of Radiance,Novel,Brandon Sanderson,Fiction: Fantasy: High,NOT STARTED,"The Stormlight Archive, #2.",1087,2014,,4.76
Last Days,Novel,Brian Evenson,Fiction: Horror,NOT STARTED,,201,2009,,3.73
Song for the Unraveling of the World: Stories,Anthology,Brian Evenson,Fiction: Horror,NOT STARTED,,208,2019,,3.88
Nightlife,Novel,Brian Hodge,Fiction: Horror,NOT STARTED,,404,1991,,3.49
Unmanned,Graphic Novel,Brian K. Vaughan,Fiction: Science Fiction: Apocalyptic,NOT STARTED,"Y: The Last Man, #1.",130,2003,,4.08
"Paper Girls, Volume 1",Graphic Novel,Brian K. Vaughan,Fiction: Science Fiction,NOT STARTED,"Paper Girls, #1.",144,2016,,3.89
"Saga, Volume 1",Graphic Novel,"Brian K. Vaughan, Fiona Staples",Fiction: Fantasy,NOT STARTED,"Saga, #1.",160,2012,,4.17
Darkness on the Edge of Town,Novel,Brian Keene,Fiction: Horror,NOT STARTED,,264,2008,,3.66
Ghoul,Novel,Brian Keene,Fiction: Horror,NOT STARTED,,322,2007,,3.86
The Burrowers Beneath,Novel,Brian Lumley,Fiction: Horror: Cosmic,FINISHED,"Titus Crow, #1.",199,1974,4.00,3.66
The Transition of Titus Crow,Novel,Brian Lumley,Fiction: Horror: Cosmic,NOT STARTED,"Titus Crow, #2.",253,1975,,3.65
Necroscope,Novel,Brian Lumley,Fiction: Horror,NOT FINISHED,"Necroscope, #1.",383,1986,3.50,4.01
Promise of Blood,Novel,Brian McClellan,Fiction: Fantasy: High,NOT STARTED,"Powder Mage, #1.",545,2013,,4.14
Sins of Empire,Novel,Brian McClellan,Fiction: Fantasy: High,NOT STARTED,"Gods of Blood and Powder, #1.",624,2017,,4.40
Creatures of Apogee,Short Story,Brian W. Aldiss,Fiction: Science Fiction,FINISHED,,4,1977,3.50,3.60
Beef,Short Story,Brian W. Aldiss,Fiction: Science Fiction,FINISHED,,4,2001,3.50,3.48
III,Short Story,Brian W. Aldiss,Fiction: Science Fiction: Apocalyptic,FINISHED,,5,2001,4.00,3.48
Apogee Again,Short Story,Brian W. Aldiss,Fiction: Science Fiction: Apocalyptic,FINISHED,,9,2000,3.50,3.48
Supertoys Last All Summer Long,Short Story,Brian W. Aldiss,Fiction: Science Fiction,FINISHED,,11,1969,4.50,3.48
Supertoys When Winter Comes,Short Story,Brian W. Aldiss,Fiction: Science Fiction,FINISHED,,11,2001,4.00,3.48
Supertoys in Other Seasons,Short Story,Brian W. Aldiss,Fiction: Science Fiction,FINISHED,,13,2001,4.20,3.48
The Night That All Time Broke Out,Short Story,Brian W. Aldiss,Fiction: Science Fiction,FINISHED,,16,1967,4.00,4.17
The Old Mythyology,Short Story,Brian W. Aldiss,Fiction: Science Fiction: Apocalyptic,FINISHED,,16,2001,3.50,3.48
Nothing in Life Is Ever Enough,Short Story,Brian W. Aldiss,Fiction: Science Fiction,FINISHED,,17,2000,3.50,3.48
Helliconia Spring,Novel,Brian W. Aldiss,Fiction: Science Fiction,NOT STARTED,"Helliconia, #1.",400,1982,,3.63
The Unthinkable,Short Story,Bruce Sterling,Fiction: Horror: Cosmic,FINISHED,,6,1991,3.00,4.12
Schismatrix,Novel,Bruce Sterling,Fiction: Science Fiction: Cyberpunk,NOT STARTED,,288,1985,,3.89
The Difference Engine,Novel,"Bruce Sterling, William Gibson",Fiction: Science Fiction: Steampunk,NOT STARTED,,429,1990,,3.46
Foreigner,Novel,C. J. Cherryh,Fiction: Science Fiction,NOT STARTED,"Foreigner, #1.",428,1994,,3.92
Blood Money,Novel,C. L. Werner,Fiction: Fantasy: Grimdark,NOT FINISHED,"Brunner the Bounty Hunter, #1.",288,2003,3.75,3.94
Not This August,Novel,C. M. Kornbluth,Fiction: Science Fiction,NOT STARTED,,255,1955,,3.48
The Massacre at Yellow Hill,Novel,C. S. Humble,Fiction: Horror,NOT STARTED,"The Light Sublime, #1.",260,2018,,4.15
"The Lion, the Witch and the Wardrobe",Novel,C. S. Lewis,Fiction: Fantasy,FINISHED,"Chronicles of Narnia, #1.",206,1950,1.00,4.23
A History of Western Philosophy: From the Pre-Socratics to Postmodernism,Non-Fiction,C. Stephen Evans,Non-Fiction: Philosophy,NOT STARTED,,600,2018,,4.24
Agents of Dreamland,Novella,Caitlín R. Kiernan,Fiction: Horror: Cosmic,FINISHED,"Tinfoil Dossier, #1.",128,2017,4.10,3.64
Black Helicopters,Novella,Caitlín R. Kiernan,Fiction: Horror: Cosmic,NOT STARTED,"Tinfoil Dossier, #2.",202,2015,,3.37
The Lost Village,Novel,Camilla Stern,Fiction: Horror,NOT STARTED,,340,2019,,3.53
Contact,Novel,Carl Sagan,Fiction: Science Fiction: Hard,FINISHED,,375,1985,4.50,4.15
The Night Battles: Witchcraft and Agrarian Cults in the Sixteenth and Seventeenth Century,Non-Fiction,Carlo Ginzburg,Non-Fiction: History,NOT STARTED,,232,1966,,4.01
El libro de la tierra negra,Novel,Carlos Gardini,Fiction: Science Fiction,NOT FINISHED,,259,1993,3.00,4.19
The Prettiest Star,Novel,Carter Sickels,Fiction: Contemporary,NOT STARTED,,288,2020,,4.42
Little Fires Everywhere,Novel,Celeste Ng,Fiction: Literary,NOT STARTED,,338,2017,,4.08
A Christmas Carol,Novel,Charles Dickens,Fiction: Fantasy,FINISHED,,184,1843,3.90,4.08
A Tale of Two Cities,Novel,Charles Dickens,Fiction: Historical,NOT STARTED,,489,1859,,3.87
Code: The Hidden Language of Computer Hardware and Software,Non-Fiction,Charles Petzold,Non-Fiction: Science,FINISHED,,396,1999,4.25,4.39
Heavier Than Heaven: A Biography of Kurt Cobain,Non-Fiction,Charles R. Cross,Non-Fiction: Music,NOT STARTED,,381,2001,,4.12
A Colder War,Novelette,Charles Stross,Fiction: Horror: Cosmic,FINISHED,,32,2000,4.00,3.90
Missile Gap,Novella,Charles Stross,Fiction: Science Fiction,NOT STARTED,,73,2005,,3.90
The Atrocity Archives,Novel,Charles Stross,Fiction: Horror: Cosmic,NOT STARTED,"Laundry Files, #1.",345,2005,,3.90
Accelerando,Novel,Charles Stross,Fiction: Science Fiction,NOT STARTED,,415,2005,,3.87
Coming of the Light,Novelette,Chen Qiufan,Fiction: Science Fiction,FINISHED,,30,2012,3.50,3.85
A History of Future Illnesses,Novelette,Chen Qiufan,Fiction: Science Fiction,FINISHED,,32,2012,4.00,3.85
Under a Dangling Sky,Short Story,Cheng Jingbo,Fiction: Science Fiction,FINISHED,,12,2004,3.00,3.85
The City & the City,Novel,China Miéville,Fiction: Science Fiction,NOT STARTED,,312,2009,,3.90
Perdido Street Station,Novel,China Miéville,Fiction: Science Fiction,NOT STARTED,,710,2000,,3.98
Medieval Europe,Non-Fiction,Chris Wickham,Non-Fiction: History,NOT STARTED,,352,2016,,3.72
"The Inheritance of Rome: Illuminating the Dark Ages, 400-1000",Non-Fiction,Chris Wickham,Non-Fiction: History,NOT STARTED,,651,2009,,3.93
Near the Bone,Novel,Christina Henry,Fiction: Horror,NOT STARTED,,321,2021,,3.73
Between Two Fires,Novel,Christopher Buehlman,Fiction: Historical,NOT STARTED,,432,2012,,4.27
Ararat,Novel,Christopher Golden,Fiction: Horror,NOT STARTED,,305,2017,,3.41
Uncharted: The Fourth Labyrinth,Novel,Christopher Golden,Fiction: Adventure,FINISHED,,322,2011,2.00,3.68
The Inverted World,Novel,Christopher Priest,Fiction: Science Fiction,NOT STARTED,,239,1974,,3.93
The Separation,Novel,Christopher Priest,Fiction: Science Fiction: Alternative History,NOT STARTED,,338,2002,,3.67
The Fall,Novel,"Chuck Hogan, Guillermo del Toro",Fiction: Horror,FINISHED,"The Strain, #2.",308,2010,3.00,3.82
The Night Eternal,Novel,"Chuck Hogan, Guillermo del Toro",Fiction: Horror,FINISHED,"The Strain, #3.",371,2011,2.50,3.71
The Strain,Novel,"Chuck Hogan, Guillermo del Toro",Fiction: Horror,FINISHED,"The Strain, #1.",403,2009,3.50,3.79
Black River Orchard,Novel,Chuck Wendig,Fiction: Horror,NOT STARTED,,640,2023,,4.14
Wanderers,Novel,Chuck Wendig,Fiction: Science Fiction,NOT STARTED,"Wanderers, #1.",845,2019,,3.98
Moonlight,Short Story,Cixin Liu,Fiction: Science Fiction,FINISHED,,18,2009,3.50,3.85
The Wandering Earth,Novelette,Cixin Liu,Fiction: Science Fiction,NOT STARTED,,46,2000,,4.23
The Three-Body Problem,Novel,Cixin Liu,Fiction: Science Fiction,FINISHED,"Remembrance of Earth's Past, #1.",472,2006,4.70,4.09
The Dark Forest,Novel,Cixin Liu,Fiction: Science Fiction,FINISHED,"Remembrance of Earth's Past, #2.",512,2008,4.70,4.42
Death's End,Novel,Cixin Liu,Fiction: Science Fiction,FINISHED,"Remembrance of Earth's Past, #3.",604,2010,4.70,4.43
Zothique,Poetry,Clark Ashton Smith,Fiction: Horror,FINISHED,,2,1951,3.00,4.23
Morthylla,Short Story,Clark Ashton Smith,Fiction: Horror,NOT STARTED,,10,1953,,4.23
The Tomb-Spawn,Short Story,Clark Ashton Smith,Fiction: Horror,NOT STARTED,,10,1934,,4.23
The Garden of Adompha,Short Story,Clark Ashton Smith,Fiction: Horror,NOT STARTED,,11,1938,,4.23
The Isle of the Torturers,Short Story,Clark Ashton Smith,Fiction: Horror,NOT STARTED,,16,1933,,4.23
The Last Hieroglyph,Short Story,Clark Ashton Smith,Fiction: Horror,NOT STARTED,,18,1935,,4.23
The Black Abbot of Puthuum,Novelette,Clark Ashton Smith,Fiction: Horror,NOT STARTED,,23,1936,,4.23
The Voyage of King Euvoran,Novelette,Clark Ashton Smith,Fiction: Horror,NOT STARTED,,26,1933,,4.23
Ghost Eaters,Novel,Clay McLeon Chapman,Fiction: Horror,NOT STARTED,,304,2022,,3.37
Way Station,Novel,Clifford D. Simak,Fiction: Science Fiction,NOT STARTED,,210,1963,,4.03
"In the Hills, the Cities",Novelette,Clive Barker,Fiction: Horror,NOT STARTED,,27,1984,,4.04
"Sex, Death and Starshine",Novelette,Clive Barker,Fiction: Horror,NOT STARTED,,34,1984,,4.04
The Hellbound Heart,Novel,Clive Barker,Fiction: Horror,FINISHED,,164,1986,4.10,4.07
Cabal,Novel,Clive Barker,Fiction: Horror,NOT STARTED,,358,1988,,3.92
The Scarlet Gospels,Novel,Clive Barker,Fiction: Horror,NOT STARTED,,361,2015,,3.49
The Space Vampires,Novel,Colin Wilson,Fiction: Science Fiction: Horror,NOT STARTED,,220,1976,,3.34
The Mind Parasites,Novel,Colin Wilson,Fiction: Horror: Cosmic,NOT STARTED,,240,1967,,3.74
The Philosopher's Stone,Novel,Colin Wilson,Fiction: Horror: Cosmic,NOT STARTED,,320,1969,,3.92
The Occult,Non-Fiction,Colin Wilson,Non-Fiction: Religion,NOT FINISHED,,628,1971,1.00,3.92
The Thorn Birds,Novel,Colleen McCullough,Fiction: Historical,NOT STARTED,,692,1977,,4.24
The First Man in Rome,Novel,Colleen McCullough,Fiction: Historical,NOT STARTED,"Masters of Rome, #1.",1076,1990,,4.12
Batman Beyond: Neo-Year,Graphic Novel,Collin Kelly,Fiction: Science Fiction: Cyberpunk,FINISHED,,208,2022,4.00,3.91
The Nickel Boys,Novel,Colson Whitehead,Fiction: Historical,NOT STARTED,,213,2019,,4.26
The Underground Railroad,Novel,Colson Whitehead,Fiction: Historical,NOT STARTED,,320,2016,,4.06
The Gates of Rome,Novel,Conn Iggulden,Fiction: Historical,NOT STARTED,"Emperor, #1.",452,2002,,4.19
Stormbird,Novel,Conn Iggulden,Fiction: Historical,NOT STARTED,"Wars of the Roses, #1.",482,2013,,3.92
Doomsday Book,Novel,Connie Willis,Fiction: Science Fiction,NOT FINISHED,"Oxford Time Travel, #1.",578,1992,3.00,4.03
Passage,Novel,Connie Willis,Fiction: Science Fiction,NOT STARTED,,780,2001,,3.72
Under Old Earth,Novelette,Cordwainer Smith,Fiction: Science Fiction,FINISHED,"The Instrumentality of Mankind, #0.",24,1966,4.00,4.13
"Think Blue, Count Two",Short Story,Cordwainer Smith,Fiction: Science Fiction,FINISHED,"The Instrumentality of Mankind, #0.",36,1963,3.50,3.93
Scanners Live in Vain,Novelette,Cordwainer Smith,Fiction: Science Fiction,NOT STARTED,"The Instrumentality of Mankind, #0.",39,1950,,4.13
The Dead Lady of Clown Town,Novella,Cordwainer Smith,Fiction: Science Fiction,NOT STARTED,"The Instrumentality of Mankind, #0.",86,1964,,4.13
Norstrilia,Novel,Cordwainer Smith,Fiction: Science Fiction,NOT STARTED,"The Instrumentality of Mankind, #0.",277,1975,,4.01
The Road,Novel,Cormac McCarthy,Fiction: Science Fiction: Apocalyptic,FINISHED,,241,2006,4.00,3.99
All the Pretty Horses,Novel,Cormac McCarthy,Fiction: Literary,NOT STARTED,"The Border Trilogy, #1.",302,1992,,4.04
No Country for Old Men,Novel,Cormac McCarthy,Fiction: Literary,NOT STARTED,,309,2005,,4.15
"Blood Meridian, or, the Evening Redness in the West",Novel,Cormac McCarthy,Fiction: Literary,NOT STARTED,,351,1985,,4.16
Information Doesn't Want to Be Free,Non-Fiction,Cory Doctorow,Non-Fiction: Philosophy,NOT STARTED,,192,2014,,3.99
The Saturday Night Ghost Club,Novel,Craig Davidson,Fiction: Horror,NOT STARTED,,253,2018,,3.86
Countless Haints,Graphic Novel,Cullen Bunn,Fiction: Horror,NOT STARTED,"Harrow County, #1.",144,2015,,4.04
Why Abdul Al Hazred Went Mad,Short Story,D. R. Smith,Fiction: Horror: Cosmic,NOT STARTED,,10,1950,,3.68
Missing in Action,Short Story,Dan Abnett,Fiction: Science Fiction: Grimdark,FINISHED,"Eisenhorn, #1.5.",30,2001,4.00,4.08
Xenos,Novel,Dan Abnett,Fiction: Science Fiction: Grimdark,FINISHED,"Eisenhorn, #1.",288,2001,4.00,4.16
Malleus,Novel,Dan Abnett,Fiction: Science Fiction: Grimdark,FINISHED,"Eisenhorn, #2.",288,2001,3.00,4.23
Hereticus,Novel,Dan Abnett,Fiction: Science Fiction: Grimdark,NOT STARTED,"Eisenhorn, #3.",320,2002,,4.25
Origin,Novel,Dan Brown,Fiction: Thriller,FINISHED,"Robert Langdon, #5.",461,2017,3.00,3.89
Inferno,Novel,Dan Brown,Fiction: Thriller,FINISHED,"Robert Langdon, #4.",463,2013,3.00,3.88
The Da Vinci Code,Novel,Dan Brown,Fiction: Thriller,FINISHED,"Robert Langdon, #2.",489,2003,3.00,3.91
The Lost Symbol,Novel,Dan Brown,Fiction: Thriller,FINISHED,"Robert Langdon, #3.",509,2009,3.00,3.75
Digital Fortress,Novel,Dan Brown,Fiction: Thriller,FINISHED,,510,1998,3.00,3.69
Deception Point,Novel,Dan Brown,Fiction: Thriller,FINISHED,,556,2001,3.00,3.75
Angels & Demons,Novel,Dan Brown,Fiction: Thriller,FINISHED,"Robert Langdon, #1.",736,2000,4.00,3.94
Song of Kali,Novel,Dan Simmons,Fiction: Science Fiction,NOT STARTED,,311,1985,,3.61
Children of the Night,Novel,Dan Simmons,Fiction: Horror,NOT STARTED,"Season of Horror, #2.",453,1992,,3.72
Hyperion,Novel,Dan Simmons,Fiction: Science Fiction,FINISHED,"Hyperion Cantos, #1.",500,1989,4.50,4.26
The Fall of Hyperion,Novel,Dan Simmons,Fiction: Science Fiction,NOT STARTED,"Hyperion Cantos, #2.",517,1990,,4.23
Summer of Night,Novel,Dan Simmons,Fiction: Horror,FINISHED,"Season of Horror, #1.",600,1991,4.00,4.04
